ko_1,ko_2,ctrl_1,ctrl_2
12.97,14.54,3.51,5.08
14.2,17.49,16.95,12.29
0.52,0.36,0.79,0.48
0.85,1.08,1.31,3.16
65.93,81.76,95.5,48.79
1.18,0.97,0.51,0.82
13.09,11.54,10.53,29.76
36.58,31.24,48.92,46
3.75,3.31,2.6,3.87
134.28,176.36,366.98,369.8
0.04,0,0,0
12.95,19.33,43.37,50.02
6.1,6.75,15.07,14.78
1.08,0.79,1.38,1.44
25.59,30.09,56.95,50.23
4.96,7.55,1.59,8.23
16.81,16.26,13.02,13.74
0.91,0.9,5.7,9.23
6.95,7,2.64,5.04
0.06,0.06,0.04,0.06
1.8,1.84,0.91,0.81
0.01,0,0,0.06
0,0,0,0.02
0.02,0,0,0
0.33,0,0,0
0.28,0.26,0.19,0
27.47,33.3,43.6,32.76
0.25,0.25,0.95,0.53
9.66,9.92,8.27,10.93
39.98,46.34,45.47,41.75
0,0.16,0,0
0.14,0.19,0.12,0.34
5.44,7.85,8.92,8.41
7.69,7.67,5.43,14.99
19.73,20.79,19.86,17.36
4.93,5.93,7.05,9.02
0.1,0.07,0.03,0.1
0.3,0.25,0.55,0.94
3.74,2.9,2.01,3.59
23.2,21.4,9.78,13.25
0.13,0.08,0.03,0.05
0.2,0.24,0.13,0.19
23.11,29.59,21.6,22.29
14.47,14.44,24.41,26.93
2.82,3.59,4.93,3.19
6.62,5.26,8.08,5.09
8.26,9.88,9.81,13.51
0,0,0.04,0
0.02,0,0,0
0.04,0.05,0.13,0.15
27.69,26.57,17.67,17.32
21.07,17.34,11.36,19.01
0,0.01,0,0
0.12,0.13,0.31,0.34
0.76,0,0.06,0.65
0.62,0.47,0.67,0.89
8.89,10.16,6.24,10.17
22.99,23.91,40.94,54.99
0.5,0.64,0,0
1.87,1.9,0.96,1.26
0.04,0,0.03,0
0,0,0.11,0
0.05,0,0,0
12.43,16.4,69.53,102.29
0.21,0.24,0.23,0.38
0,0.27,0,0
31.34,37.2,17.45,43.91
28.91,23.61,13.78,21.43
0,0,0,0.19
0.12,0.21,0.41,0.43
0.39,0.28,0.79,0
11.3,12.73,9.51,12.92
13.7,14.94,7.18,10.14
0.02,0.04,0.12,0.04
0.13,0.19,0.13,0.29
0,0.07,0.09,0
25.93,28.62,33.92,32.63
0.38,0.39,0.11,0.09
12.56,13.02,3.93,5.57
0.01,0,0.02,0
15.28,2.57,0,6.49
0,0.01,0,0
0.02,0.02,0,0
267.39,305.1,366.3,453.26
17.07,14.49,12.75,11.96
2.43,3.04,1.42,1.8
13.85,12.86,11.87,15.74
0.32,1.25,0.59,1.21
119.37,118.2,229.11,244.08
0.14,0.05,0,0
0,0.05,0,0
0.02,0.11,0.08,0.05
0,0.12,0,0
0,0,0.03,0.01
0.02,0,0,0
0.1,0.05,0,0
10.44,10.24,3.59,11.02
31.37,34.06,33.61,43
0.19,0.05,0.07,0.25
7.07,6.45,1.69,1.55
5.49,5.51,3.13,3.79
4.97,4.42,6.52,8.62
0,0.02,0,0
7.13,9.91,18.04,14.29
16.1,18.95,12.41,15.82
0.53,0.5,0.64,0.69
0.25,0.43,0.73,0.86
20.82,28.02,14.95,44.75
0.37,0.69,1.36,1.63
0.19,0.25,0.1,0
79.21,66.35,12.66,20.06
0.25,0.16,0.07,0.09
0.96,1.25,0.73,0.61
0.03,0.03,0,0
0.14,0.15,0.17,0.07
21.5,17.65,6.47,14.25
0.09,0,0,0
18.93,17.75,7.06,12.68
0,0.08,0.02,0
0.86,1.09,1.03,1.4
0.89,0.42,0.6,1.19
16.93,19.77,23.65,25.13
25.46,25.48,11.95,40.6
1.57,1.58,1.01,1.2
41.64,53.35,28.91,19.54
3.27,3.12,4.97,8.05
63.48,64.27,68.4,76.07
0.19,0.24,0,0
13.52,11.59,3.68,4.61
301.46,279.11,500.41,311.84
33.24,31.28,19,16.75
2.02,1.45,0.08,0.88
4.38,4.65,3.54,12.05
4.72,1.82,1.66,2.26
25.73,31.25,47.43,133.58
0.36,0.99,0.41,0.21
78.81,71.73,37.96,58.57
0.36,0.41,0.37,0.48
0.03,0,0,0
0,0.09,0,0
8.76,8.19,38.9,38.21
136.99,130.85,114.59,100.4
0.5,0.39,0.06,0.91
1.63,1.51,2.34,3.63
2.65,3.43,3.6,1.64
216.46,240.87,349.8,346.8
0,0,0,0.01
0.11,0,0.18,0
1.79,2.07,2.8,4.03
0.92,1.24,1.36,1.61
5.68,6.26,6.4,7.26
20.01,21.13,27.24,32.66
